851	domněnka
266	dotvrzení
208	tvrzení
187	převzatá informace
149	dotvrzení, zdůraznění
136	domněnka, tvrzení
82	domněnka, vysvětlení
79	souhlas
76	odhad do budoucnosti
72	ujištění
64	předpoklad
59	zdůraznění
56	přesvědčení
48	direktivní předpoklad
45	shrnutí, navazování
45	introspekce
44	spojkový výraz
44	připouštění
40	shrnutí
34	navazování
33	úvaha
28	míra
28	domněnka, pozorování
26	navazování s kontrastem
25	žádost o dotvrzení
25	příklad
20	žádost o ujištění
20	přitakání
19	zpochybnění
19	axiom
18	domněnka, přesvědčení
17	nesouhlas
16	sebeujištění
15	doufání
15	doporučení, návrh
14	vysvětlení
14	údiv
12	upřesnění
12	souhlas, přitakání
11	souhlas, připouštění
10	tvrzení, zdůraznění
8	zpochybnění, ironie
8	nepřímý direktivní předpoklad
8	domněnka, převzatá informace
7	topic-shift
7	nesouhlas, zpochybnění
6	úvaha, introspekce
6	otázka
5	úvaha, údiv
5	úvaha, fabulování
5	příklad, možnost
5	manipulace
5	ironie
5	hedging
4	zavazující introspekce
4	výhružka
4	výčitka
4	slib
4	pochybnost
4	ostrá odpověď
4	fabulování
4	axiom, ironie
3	příkaz
3	přesvědčování
3	omluva
3	obava
3	námitka
3	nadšení
3	metajazyk
3	domněnka, dedukce
2	nabídka
2	dotvrzení, navazování
1	výzva
1	vycpávka
1	srovnání
1	souhlas, utvrzení
1	převzatá informace, požadavek
1	obvinění
