829	domněnka
284	dotvrzení
283	tvrzení
184	převzatá informace
122	dotvrzení, zdůraznění
109	předpoklad
104	odhad do budoucnosti
80	zdůraznění
73	souhlas
72	připouštění
70	ujištění
70	navazování
51	úvaha
50	míra
50	direktivní předpoklad
47	spojkový výraz
45	shrnutí, navazování
41	upřesnění
40	vysvětlení
40	shrnutí
39	introspekce
32	domněnka, vysvětlení
28	žádost o dotvrzení
27	přesvědčení
26	přitakání
25	příklad
21	axiom
19	žádost o ujištění
17	úvaha, fabulování
15	nesouhlas
15	doporučení, návrh
14	tvrzení, zdůraznění
14	doufání
13	údiv
12	zpochybnění
12	souhlas, přitakání
11	sebeujištění
11	nepřímý direktivní předpoklad
8	úvaha, introspekce
8	zpochybnění, ironie
8	otázka
7	topic-shift
7	ironie
6	souhlas, připouštění
5	úvaha, údiv
5	výčitka
5	příklad, možnost
5	pochybnost
5	obava
5	manipulace
5	domněnka, přesvědčení
4	zavazující introspekce
4	výhružka
4	slib
4	příkaz
4	námitka
4	nadšení
3	ostrá odpověď
3	metajazyk
3	hedging
3	axiom, ironie
2	výzva
2	přesvědčování
2	omluva
2	dotvrzení, navazování
1	vycpávka
1	srovnání
1	souhlas, utvrzení
1	odhad do budoucna
1	obvinění
1	nesouhlas, zpochybnění
1	navazování s kontrastem
1	nabídka
