1	popření	domněnka		
1	popis		opraveno v datech	
1	podiv, uznání		opraveno v datech	
1	pochybnost, nesouhlas	nesouhlas, pochybnost		
1	omluva, politování	omluva		
1	odpověď s expresivitou, silným přesvědčením	shrnutí		
1	odmítnutí spolupráce (podání infomace)		opraveno v datech	
1	odmítnutí		opraveno v datech	
1	odhad do budoucna	odhad do budoucnosti		
1	odhad		opraveno v datech	
1	obvinění			
1	obava			
1	nesouhlas/zpochybnění	nesouhlas, zpochybnění		
1	nesouhlasné, ironie	ironie		
1	(ne)souhlasná	afirmace	opraveno v datech	
1	nepřímý rozkaz/zákaz		opraveno v datech	
1	návrh	doporučení, návrh		
1	navazovací, srovnávací	navazování s kontrastem		
1	navázání, sebeoprava			
1	navázání hovoru			
1	navázaní			
1	námitka		opraveno v datech	
1	nadsazený axiom	axiom		
1	nabídka			
1	možnost	příklad		
1	možná otázka?		opraveno v datech	
1	mírný topic-shift	navazování		
1	mírné doporučení/výzva	doporučení, návrh		
1	míra			
1	metaužití			
1	měrové	míra		
1	manipulace, přesvědčování	manipulace		
1	korekce		opraveno v datech	
1	konstatování, možnost		opraveno v datech	
1	konaktivní	navazování		
1	ironie			
1	ironické tvrzení	ironie		
1	introspekce, úvaha			
1	introspekce s odhadem do budoucnosti	introspekce, úvaha		
1	introspekce, domněnka	domněnka		
1	intenzifikace			
1	idiom &quot;horko těžko&quot;		chyba v anotaci, jde o adverbiální idiomatické plnovýznamové užití 	
1	hypotéza	připuštění		
1	fabulování			
1	fabulace	fabulování		
1	expresivní, výčitka	obava		
1	expresivní	výzva		
1	emotivní potvrzení otázkou		opraveno v datech	
1	důrazný souhlas		opraveno v datech	
1	doufání, ujišťování	ujištění		
1	doufání, přání	doufání		
1	dotvzení	dotvrzení		
1	dotvrzovací	dotvrzení		
1	dotvrzení, popř. sebeujištění	dotvrzení		
1	dotvrzení a zároveň sebeujištění		opraveno v datech	
1	dotvrzení a zároveň (sebe)ujištění	dotvrzení		
1	dotvrzení, ale s ironickým nádechem, a tak možná spíš: typ=expresivní, konkrétní KF = ironický axiom		opraveno v datech	
1	doptávání	žádost o dotvrzení		
1	domněnka s vyšší jistotou	domněnka		
1	domněnka s vysokou jistotou, domněnka je součástí introspekce	domněnka	nechala bych bez jistoty, aby bylo jednotné	
1	domněnka, smyslová evidence	domněnka		
1	domněnka,přesvědčení	tvrzení		
1	domněnka, odhad do budoucnosti	tvrzení		
1	domněnka, odhad		opraveno v datech	
1	domněnka na základě smyslové evidence	domněnka		
1	domněnka, konstatování	doporučení, návrh		
1	domněnka až přesvědčení	domněnka, přesvědčení		
1	domněnka, axiom	domněnka		
1	dedukce		opraveno v datech	
1	citace	shrnutí, navazování	tady jde o opravu anotace	
1	axiom, trochu ironické	axiom, ironie		
1	argumentace, vymezení se proti kom. partnerovi		opraveno v datech	
1	argumentace	shrnutí, navazování		
1	alternativní realita	fabulování		
